fraction used,diversity_metric_method,vecnorm_metric_method,entropy_fn
0.0,0.75,0.75,0.75
0.14,0.7327586206896551,0.5718390804597702,0.6077586206896551
0.29,0.5933908045977011,0.6609195402298851,0.6910919540229885
0.43,0.7169540229885057,0.6867816091954023,0.5517241379310345
0.57,0.7341954022988506,0.6666666666666666,0.6681034482758621
0.71,0.7097701149425287,0.6652298850574713,0.6350574712643678
0.86,0.5632183908045977,0.48563218390804597,0.6479885057471264
1.0,0.6120689655172413,0.6724137931034483,0.4985632183908046
