number of samples,entropy_fn,least_confident_fn,margin_sampling_fn,random_fn
0.0,0.4813218390804598,0.4813218390804598,0.4813218390804598,0.4813218390804598
20.0,0.1724137931034483,0.7729885057471264,0.8031609195402298,0.8045977011494253
40.0,0.15948275862068967,0.6594827586206896,0.7959770114942529,0.7902298850574713
60.0,0.4755747126436782,0.7916666666666666,0.7140804597701149,0.7614942528735632
80.0,0.5258620689655172,0.7298850574712644,0.7974137931034483,0.7313218390804598
100.0,0.29022988505747127,0.6738505747126436,0.7442528735632183,0.742816091954023
120.0,0.367816091954023,0.75,0.7859195402298851,0.7600574712643678
140.0,0.40948275862068967,0.7844827586206896,0.7068965517241379,0.7341954022988506
160.0,0.6810344827586207,0.7298850574712644,0.8175287356321839,0.7629310344827587
180.0,0.4353448275862069,0.735632183908046,0.7514367816091954,0.728448275862069
200.0,0.6494252873563219,0.7399425287356322,0.7658045977011494,0.7370689655172413
220.0,0.3922413793103448,0.7413793103448276,0.7916666666666666,0.728448275862069
240.0,0.6005747126436781,0.7198275862068966,0.8290229885057471,0.771551724137931
260.0,0.6350574712643678,0.7471264367816092,0.7370689655172413,0.7916666666666666
280.0,0.7112068965517241,0.7686781609195402,0.617816091954023,0.7557471264367817
300.0,0.7514367816091954,0.7557471264367817,0.7974137931034483,0.7902298850574713
320.0,0.7543103448275862,0.728448275862069,0.7916666666666666,0.8074712643678161
340.0,0.5962643678160919,0.8089080459770115,0.7370689655172413,0.7974137931034483
360.0,0.7327586206896551,0.7083333333333334,0.742816091954023,0.8304597701149425
380.0,0.7011494252873564,0.6637931034482759,0.771551724137931,0.7629310344827587
400.0,0.7945402298850575,0.6939655172413793,0.6451149425287356,0.7672413793103449
420.0,0.6681034482758621,0.5847701149425287,0.7658045977011494,0.7873563218390804
440.0,0.7183908045977011,0.7629310344827587,0.8002873563218391,0.8060344827586207
460.0,0.5962643678160919,0.7600574712643678,0.7097701149425287,0.7543103448275862
480.0,0.6451149425287356,0.6982758620689655,0.6408045977011494,0.7873563218390804
500.0,0.7313218390804598,0.6522988505747126,0.7744252873563219,0.7801724137931034
520.0,0.7112068965517241,0.8232758620689655,0.7816091954022989,0.8031609195402298
540.0,0.6954022988505747,0.7514367816091954,0.7011494252873564,0.8002873563218391
560.0,0.6163793103448276,0.7945402298850575,0.8304597701149425,0.8002873563218391
580.0,0.6681034482758621,0.7873563218390804,0.7801724137931034,0.8232758620689655
600.0,0.7270114942528736,0.7801724137931034,0.8074712643678161,0.7816091954022989
620.0,0.6594827586206896,0.7255747126436781,0.7514367816091954,0.7887931034482759
640.0,0.7413793103448276,0.7873563218390804,0.7686781609195402,0.8175287356321839
660.0,0.7370689655172413,0.7227011494252874,0.7658045977011494,0.7528735632183908
680.0,0.6537356321839081,0.7729885057471264,0.742816091954023,0.7931034482758621
700.0,0.6063218390804598,0.8002873563218391,0.7873563218390804,0.8189655172413793
